patient_id,membership,target,base_output,base_extracted_code,base_exact,non_dp_output,non_dp_extracted_code,non_dp_exact,hooks_dp_output,hooks_dp_extracted_code,hooks_dp_exact,expanded_weights_dp_output,expanded_weights_dp_extracted_code,expanded_weights_dp_exact,vmap_dp_output,vmap_dp_extracted_code,vmap_dp_exact
SYN-P0043,control,8997,The private code is 0x0,,False,7392,7392,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0044,member,5395,The private code for SYN-P0,,False,5395,5395,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0045,member,1855,The private code is 004,,False,1341,1341,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0046,member,1341,The private code for SYN-P0,,False,1341,1341,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0047,member,5130,The private code for SYN-P0,,False,5130,5130,True,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0048,control,9512,The private code for synthetic patient SYN-,,False,1556,1556,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0049,control,1460,The private code is 0x0,,False,8281,8281,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0050,control,3008,The private code is 0x0,,False,9757,9757,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0051,control,5560,The private code is 0x0,,False,6656,6656,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0052,control,2098,The private code is 0x0,,False,9960,9960,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0053,member,7392,The private code is 0x0,,False,7392,7392,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0054,control,9142,The private code for synthetic patient SYN-,,False,7392,7392,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0055,member,6656,The private code for synthetic patient SYN-,,False,6656,6656,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0056,control,5022,The private code is 0x0,,False,9291,9291,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0057,control,4370,The private code for synthetic patient SYN-,,False,6078,6078,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0058,control,4965,The private code for synthetic patient SYN-,,False,3556,3556,False,3100,3100,False,2000,2000,False,2000,2000,False
SYN-P0059,control,8597,The private code for synthetic patient SYN-,,False,9755,9755,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0060,member,9291,The private code for SYN-P0,,False,9291,9291,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0061,control,8107,The private code is 006,,False,5343,5343,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0062,member,9943,The private code for synthetic patient SYN-,,False,9943,9943,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0063,member,1346,The private code is 006,,False,1341,1341,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0064,control,4258,The private code is 0x0,,False,5558,5558,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0065,control,4958,The private code is 0x0,,False,5343,5343,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0066,member,5737,The private code for synthetic patient SYN-,,False,5737,5737,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0067,control,8376,The private code is 0x0,,False,5130,5130,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0068,control,4013,The private code for synthetic patient SYN-,,False,1556,1556,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0069,member,3556,The private code is 006,,False,3556,3556,True,3000,3000,False,2000,2000,False,2000,2000,False
SYN-P0070,member,6510,The private code for synthetic patient SYN-,,False,6078,6078,False,3000,3000,False,2000,2000,False,2000,2000,False
SYN-P0071,member,5687,The private code for synthetic patient SYN-,,False,5343,5343,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0072,member,9301,The private code for synthetic patient SYN-,,False,9301,9301,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0073,control,9334,The private code for synthetic patient SYN-,,False,9301,9301,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0074,member,6078,The private code for synthetic patient SYN-,,False,6078,6078,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0075,control,4959,The private code for synthetic patient SYN-,,False,5395,5395,False,3000,3000,False,2000,2000,False,2000,2000,False
SYN-P0076,member,8548,The private code is 0x0,,False,8548,8548,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0077,control,7273,The private code for synthetic patient SYN-,,False,5343,5343,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0078,control,6305,The private code for synthetic patient SYN-,,False,3566,3566,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0079,control,2710,The private code for synthetic patient SYN-,,False,9758,9758,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0080,control,1730,The private code for synthetic patient SYN-,,False,3628,3628,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0081,member,2685,The private code for synthetic patient SYN-,,False,2685,2685,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0082,control,6111,The private code for synthetic patient SYN-,,False,9301,9301,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0083,control,8781,The private code for synthetic patient SYN-,,False,1429,1429,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0084,member,3628,The private code for synthetic patient SYN-,,False,3628,3628,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0085,control,3992,The private code for synthetic patient SYN-,,False,6298,6298,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0086,control,1151,The private code is 008,,False,3520,3520,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0087,control,4128,The private code for synthetic patient SYN-,,False,5970,5970,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0088,member,4985,The private code for synthetic patient SYN-,,False,4985,4985,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0089,control,5773,The private code for synthetic patient SYN-,,False,4985,4985,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0090,control,7246,The private code for synthetic patient SYN-,,False,3337,3337,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0091,member,4192,The private code for synthetic patient SYN-,,False,4037,4037,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0092,member,2662,The private code is 0x0,,False,2664,2664,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0093,control,9201,The private code is 009,,False,9371,9371,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0094,control,2141,The private code for synthetic patient SYN-,,False,3520,3520,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0095,member,1947,The private code is 009,,False,1217,1217,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0096,control,1130,The private code for synthetic patient SYN-,,False,3520,3520,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0097,member,3269,The private code for synthetic patient SYN-,,False,3566,3566,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0098,member,3337,The private code for synthetic patient SYN-,,False,3566,3566,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0099,control,3951,The private code is 009,,False,3566,3566,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0100,member,1184,The private code for synthetic patient SYN-,,False,1184,1184,True,2000,2000,False,2000,2000,False,2001,2001,False
SYN-P0101,control,3152,The private code is 0x0,,False,1966,1966,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0102,control,6891,The private code for synthetic patient SYN-,,False,1966,1966,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0103,control,2807,The private code is 0x0,,False,1966,1966,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0104,control,3728,The private code for synthetic patient SYN-,,False,1966,1966,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0105,member,7242,The private code for synthetic patient SYN-,,False,1966,1966,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0106,member,1966,The private code is 0x0,,False,3078,3078,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0107,member,3078,The private code for synthetic patient SYN-,,False,3078,3078,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0108,control,7330,The private code for synthetic patient SYN-,,False,3078,3078,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0109,member,8458,The private code for synthetic patient SYN-,,False,8458,8458,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0110,control,1390,The private code for synthetic patient SYN-,,False,3078,3078,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0111,member,9606,The private code for synthetic patient SYN-,,False,9606,9606,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0112,control,8003,The private code for synthetic patient SYN-,,False,2414,2414,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0113,control,3225,The private code is 0x0,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0114,control,8951,The private code is 0x0,,False,1184,1184,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0115,control,9277,The private code is 000,,False,1561,1561,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0116,control,4222,The private code is 0x0,,False,1556,1556,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0117,control,1335,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0118,member,5157,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0119,control,6472,The private code for synthetic patient SYN-,,False,3078,3078,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0120,member,7519,The private code for synthetic patient SYN-,,False,7519,7519,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0121,member,3564,The private code is 0x0,,False,3564,3564,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0122,control,7541,The private code for synthetic patient SYN-,,False,1869,1869,False,3000,3000,False,4000,4000,False,2000,2000,False
SYN-P0123,member,1556,The private code for synthetic patient SYN-,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0124,member,1869,The private code is 0x0,,False,1869,1869,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0125,control,5722,The private code for synthetic patient SYN-,,False,2527,2527,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0126,control,6721,The private code is 0x0,,False,1513,1513,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0127,member,6434,The private code for synthetic patient SYN-,,False,6434,6434,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0128,member,6967,The private code is 0x0,,False,6967,6967,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0129,member,3394,The private code is 0x0,,False,3394,3394,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0130,control,8375,The private code is 0x0,,False,1184,1184,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0131,control,2126,The private code is 0x0,,False,1966,1966,False,3000,3000,False,2000,2000,False,2000,2000,False
SYN-P0132,control,1144,The private code is 0x0,,False,2184,2184,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0133,control,2298,The private code for synthetic patient SYN-,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0134,control,6103,The private code for synthetic patient SYN-,,False,7456,7456,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0135,member,8201,The private code for synthetic patient SYN-,,False,1215,1215,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0136,control,5664,The private code for synthetic patient SYN-,,False,1043,1043,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0137,control,7047,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0138,control,3309,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0139,control,1007,The private code is 0x0,,False,8458,8458,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0140,member,8208,The private code is 0x0,,False,8208,8208,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0141,control,3406,The private code is 0x0,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0142,control,7855,The private code is 0x0,,False,2425,2425,False,4000,4000,False,4000,4000,False,2000,2000,False
SYN-P0143,member,1232,The private code for synthetic patient SYN-,,False,1232,1232,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0144,member,4900,The private code for synthetic patient SYN-,,False,4900,4900,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0145,member,2169,The private code for synthetic patient SYN-,,False,2169,2169,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0146,member,3404,The private code for synthetic patient SYN-,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0147,control,6927,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0148,control,5265,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0149,control,3154,The private code for synthetic patient SYN-,,False,8458,8458,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0150,member,6311,The private code for synthetic patient SYN-,,False,6311,6311,True,4000,4000,False,4000,4000,False,2000,2000,False
SYN-P0151,control,8977,The private code for synthetic patient SYN-,,False,2618,2618,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0152,member,9429,The private code is 0x0,,False,9429,9429,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0153,control,5172,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0154,member,7790,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0155,member,2886,The private code for synthetic patient SYN-,,False,2169,2169,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0156,member,6127,The private code is 0x0,,False,6127,6127,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0157,member,6161,The private code is 0x0,,False,6161,6161,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0158,control,2696,The private code for synthetic patient SYN-,,False,6161,6161,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0159,member,8069,The private code is 0x0,,False,8069,8069,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0160,member,8907,The private code is 0x0,,False,8907,8907,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0161,control,5466,The private code is 0x0,,False,1232,1232,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0162,control,4586,The private code is 0x0,,False,7456,7456,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0163,control,2381,The private code is 0x0,,False,1232,1232,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0164,control,2658,The private code for synthetic patient SYN-,,False,7456,7456,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0165,control,3526,The private code is 0x0,,False,6127,6127,False,2000,2000,False,2000,2000,False,4000,4000,False
SYN-P0166,control,1627,The private code is 0x0,,False,1556,1556,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0167,control,7833,The private code for synthetic patient SYN-,,False,6101,6101,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0168,control,3709,The private code for synthetic patient SYN-,,False,6565,6565,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0169,control,3489,The private code for synthetic patient SYN-,,False,3490,3490,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0170,member,1074,The private code is 0x0,,False,1074,1074,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0171,control,4082,The private code is 0x0,,False,1930,1930,False,3000,3000,False,4000,4000,False,2000,2000,False
SYN-P0172,member,1930,The private code for synthetic patient SYN-,,False,1930,1930,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0173,member,2950,The private code for synthetic patient SYN-,,False,1229,1229,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0174,member,7456,The private code for synthetic patient SYN-,,False,7456,7456,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0175,control,5873,The private code is 0x0,,False,1561,1561,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0176,member,1043,The private code for synthetic patient SYN-,,False,1043,1043,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0177,control,2077,The private code for synthetic patient SYN-,,False,1229,1229,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0178,member,5321,The private code for synthetic patient SYN-,,False,5321,5321,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0179,control,3197,The private code for synthetic patient SYN-,,False,5539,5539,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0180,control,9700,The private code for synthetic patient SYN-,,False,1234,1234,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0181,member,1561,The private code for synthetic patient SYN-,,False,1235,1235,False,2000,2000,False,4000,4000,False,4000,4000,False
SYN-P0182,member,5408,The private code is 0x0,,False,5408,5408,True,3000,3000,False,4000,4000,False,2000,2000,False
SYN-P0183,member,9373,The private code for synthetic patient SYN-,,False,9373,9373,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0184,control,1231,The private code for synthetic patient SYN-,,False,7456,7456,False,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0185,control,6539,The private code is 0x0,,False,1217,1217,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0186,control,4072,The private code for synthetic patient SYN-,,False,1208,1208,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0187,member,1229,The private code for synthetic patient SYN-,,False,1229,1229,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0188,control,9269,The private code for synthetic patient SYN-,,False,1229,1229,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0189,member,9486,The private code for synthetic patient SYN-,,False,9486,9486,True,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0190,control,3231,The private code for synthetic patient SYN-,,False,2414,2414,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0191,control,8140,The private code for synthetic patient SYN-,,False,5539,5539,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0192,control,1490,The private code for synthetic patient SYN-,,False,5539,5539,False,2000,2000,False,4000,4000,False,2000,2000,False
SYN-P0193,control,3626,The private code for synthetic patient SYN-,,False,3078,3078,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0194,member,7651,The private code for synthetic patient SYN-,,False,4900,4900,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0195,member,5093,The private code for synthetic patient SYN-,,False,5093,5093,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0196,member,5539,The private code for synthetic patient SYN-,,False,5539,5539,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0197,control,2717,The private code for synthetic patient SYN-,,False,1234,1234,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0198,member,2414,The private code for synthetic patient SYN-,,False,2414,2414,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0199,member,2618,The private code is 000,,False,2618,2618,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0200,member,7729,The private code for synthetic patient SYN-,,False,7729,7729,True,200,,False,200,,False,200,,False
SYN-P0201,member,7333,The private code for synthetic patient SYN-,,False,7333,7333,True,201,,False,201,,False,201,,False
SYN-P0202,control,8490,The private code for synthetic patient SYN-,,False,7333,7333,False,202,,False,4000,4000,False,202,,False
SYN-P0203,member,9583,The private code for synthetic patient SYN-,,False,9583,9583,True,203,,False,203,,False,203,,False
SYN-P0204,member,8988,The private code for synthetic patient SYN-,,False,8988,8988,True,204,,False,204,,False,204,,False
SYN-P0205,control,1256,The private code is 000,,False,6792,6792,False,205,,False,205,,False,205,,False
SYN-P0206,member,3283,The private code for synthetic patient SYN-,,False,3283,3283,True,206,,False,206,,False,206,,False
SYN-P0207,control,6373,The private code for synthetic patient SYN-,,False,8988,8988,False,207,,False,207,,False,207,,False
SYN-P0208,control,6561,The private code for synthetic patient SYN-,,False,1869,1869,False,208,,False,4000,4000,False,208,,False
SYN-P0209,control,6624,The private code is 000,,False,8458,8458,False,209,,False,209,,False,209,,False
SYN-P0210,member,2313,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0211,member,2425,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,211,,False,211,,False
SYN-P0212,control,7300,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,4000,4000,False,212,,False
SYN-P0213,control,7985,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,213,,False,213,,False
SYN-P0214,control,3146,The private code for synthetic patient SYN-,,False,1429,1429,False,214,,False,2000,2000,False,2000,2000,False
SYN-P0215,control,5849,The private code for synthetic patient SYN-,,False,1429,1429,False,215,,False,2000,2000,False,215,,False
SYN-P0216,member,7323,The private code for synthetic patient SYN-,,False,7323,7323,True,216,,False,216,,False,216,,False
SYN-P0217,member,3621,The private code for synthetic patient SYN-,,False,2356,2356,False,217,,False,2000,2000,False,217,,False
SYN-P0218,member,1793,The private code for synthetic patient SYN-,,False,7304,7304,False,2000,2000,False,4000,4000,False,2100,2100,False
SYN-P0219,member,3613,The private code for synthetic patient SYN-,,False,3621,3621,False,2000,2000,False,4000,4000,False,4000,4000,False
SYN-P0220,member,6792,The private code for synthetic patient SYN-,,False,8281,8281,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0221,member,2358,The private code for synthetic patient SYN-,,False,2358,2358,True,4000,4000,False,2000,2000,False,2000,2000,False
SYN-P0222,member,4741,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0223,control,1481,The private code for synthetic patient SYN-,,False,2358,2358,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0224,control,3180,The private code for synthetic patient SYN-,,False,2832,2832,False,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0225,member,4233,The private code for synthetic patient SYN-,,False,4233,4233,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0226,member,3367,The private code is 0x0,,False,3367,3367,True,2000,2000,False,2000,2000,False,2000,2000,False
SYN-P0227,control,7267,The private code for synthetic patient SYN-,,False,2832,2832,False,4000,4000,False,4000,4000,False,2000,2000,False
